Estado;Nombre de la OBPP;Código SITUR de la OBPP;RIF;kg_arrime_2016_casa_agro
ARAGUA;LAS TRES ERRE;05-15-01-001-0013;C299311170;3.698,08
BARINAS;COMUNA SOCIALISTA LA UNION;*06-09-0008;C404683984;479.190,76
BARINAS;SOCIALISTA EL ALMA LLANERA;C-RUR-2015-01-0001;C405705558;31.276,94
BARINAS;LAS GUACHARACAS;C-RUR-2014-10-0004;C405728523;639.850,85
BARINAS;SOCIALISTA LOS SUEÑOS DE CHAVEZ;C-RUR-2015-05-0006;C406489425;34.961,08
BARINAS;SOCIALISTA BOLIVAR Y CHAVEZ II;C-MIX-2015-05-0028;C406537519;45.468,35
BARINAS;AGRO SOCIALISTA LAS MANOS PRODUCTIVAS DE CHAVEZ;C-MIX-2015-05-0026;C406651702;32.011,86
BARINAS;AGRO SOCIALISTA SABANAS DEL ARAÑERO;C-MIX-2015-09-0014;C407066633;145.692,24
BARINAS;PEDRO FELIPE SOSA;C-RUR-2015-10-0002;C407127470;68.133,06
BARINAS;EL MESERO I (SIN NOMBRE COMERCIAL);06-09-03-001-0010;J299618853;15.698,04
BARINAS;CAPARO (NO INDICA);06-09-02-001-0015;J299937495;5.473,00
BARINAS;LOS GUERREROS DE HATO VIEJO;06-04-0002;J403680000;108.633,78
BARINAS;LOS GUERREROS ZAMORANOS;12:00:00 AM;J403552150;619.681,13
BARINAS;ANTONIO JOSE DE SUCRE (SIN NOMBRE COMERCIAL);06-10-01-015-0002;J299666998;136.770,93
CARABOBO;COMUNIDAD RURAL CHAGUA;CC-RUR-2015-09-00016;C407504444;35.748,65
GUÁRICO;CHAPARROTE;12-14-01-107-0000;C299592510;20.956,29
GUÁRICO;LECHERITO IV;21-06-03-001-0003;C317464060;1.226.217,98
GUÁRICO;COMUNA SOCIALISTA AGROINDUSTRIAL DE PROSUMIDORES NEGRA MATEA;C-RUR-2015-03-0005;C405886757;180.661,96
GUÁRICO;BRISAS DEL SUR;12-06-02-001-0002;J299291617;11.099,49
GUÁRICO;LA FLOREÑA;12-08-01-001-0037;J299722731;59.712,50
GUÁRICO;CAMPO LLANO;12-07-01-021-0000;J299330876;137.681,06
GUÁRICO;LAS PIEDRAS;12-11-02-007-0000;J299730963;34.948,00
GUÁRICO;LA TRINIDAD (SIN NOMBRE COMERCIAL);12-11-01-D64-0000;J299830895;32.889,00
GUÁRICO;ARENITA;12-11-01-007-0000;J299833797;18.215,00
GUÁRICO;CULPINO;12-14-01-E04-0000;J299611409;10.110,93
GUÁRICO;PASCUALERO ROBLECITO;12-11-01-001-0024;J299860468;40.356,00
GUÁRICO;CONCEJO COMUNAL VACA VIEJA (SIN NOMBRE COMERCIAL);12-08-01-064-0000;J299671290;837.457,30
GUÁRICO;SABANA GRANDE PEREÃITA;12-15-01-B85-0000;J302763878;853.740,01
GUÁRICO;PEDRO PEREZ DELGADO MAISANTA;12-08-04-001-0008;J317385705;5.284,27
GUÁRICO;CORAZON DE MI PATRIA;12-15-0006;J404015531;440.592,35
GUÁRICO;GENERAL PEDRO ZARAZA;12-15-0005;J404500014;488.311,73
GUÁRICO;FELICIDAD SUPREMA 2019;C-MIX-2014-11-0028;J406642606;1.664.063,18
GUÁRICO;EL GIGANTE DE VENEZUELA HUGO CHAVEZ;C-MIX-2014-11-0029;J406676403;64.539,63
GUÁRICO;UNIDOS POR AGUA NEGRA;C-MIX-2014-10-0018;J406695041;1.471.053,82
GUÁRICO;CACIQUE TAMANACO;12-15-0000;J402591063;648.699,21
GUÁRICO;ASENTAMIENTO CAMPESINO MASAGUARE;12-07-01-001-0020;J299533483;494.992,28
GUÁRICO;EL PALITO CAÑO HONDO;12-08-01-001-0087;C299782319;386.026,84
GUÁRICO;SAN SIMÓN UNICO;CC-RUR-2014-08-00039;J404529594;284.243,16
GUÁRICO;EL MEDANO (SIN NOMBRE COMERCIAL);12-11-01-047-0000;J299493716;45.093,00
GUÁRICO;EL FRIO;12-08-01-020-0000;J405611812;509.988,16
GUÁRICO;el venado;12-11-01-227-0000;J299743313;87.124,19
GUÁRICO;MEDANITO CHAMISERO;12-08-01-001-0104;J299195693;70.115,18
GUÁRICO;HERRERA GUARIQUITO;12-08-01-001-0050;J299503177;247.995,51
GUÁRICO;TAPICITO;12-08-01-048-0000;J299304050;78.072,05
GUÁRICO;LECHERITO 1-4;12-08-01-024-0000;C299520861;87.064,44
GUÁRICO;LECHERITO 1-5;12-08-01-025-0005;J400789656;30.469,32
LARA;ALTOS DE BELLO MONTE;13-03-01-001-0093;C401617581;27.944,97
LARA;EL MAIZAL (NO INDICA);CCO-16-10-03-00062;C402336810;1.887.889,52
LARA;SOCIALISTA NEGRO MIGUEL (NO INDICA);*13-07-0001;C402772459;59.258,10
LARA;MINAS DE BURIA;13-07-0002;J402952635;12.744,66
PORTUGUESA;DIVINA PASTORA;*18-05-0000;J404339329;120.914,32
PORTUGUESA;SOCIALISTA INDIO COROMOTO;*18-04-0006;J405471115;113.912,65
PORTUGUESA;COMUNA AGROINDUSTRIAL RIO BUCHY;18-02-0003;J405573392;164.355,88
PORTUGUESA;GUAIMARAL PORTUGUESA SOCIALISTA;*18-02-0000;J406380792;235.820,95
PORTUGUESA;AGROECOTURISTICA INDUSTRIAL EL ALFA DE SANTA CRUZ;18-14-0000;J405573406;1.496.400,38
PORTUGUESA;SOCIALISTA VALLES DE SURUAPAY;12:00:00 AM;J405609761;141.176,20
;COMUNA 4 DE FEBRERO;;J404978267;112.012,00
;COMUNA EL ULTIMO HOMBRE A CABALLO;;J407834800;30.362,00
;COMUNA JUAN DE MATA SUAREZ;;J403778817;5.043,00
;COMUNA LIBERTADORA MANUELITA;;J405508680;164.641,00
;COMUNA LOS LUCHADORES;;J405217235;375.928,00
;COMUNA LOS VENCEDORES HIJOS DE CHAVEZ;;J405598492;431.468,00
;COMUNA SOCIALISTA SUR COJEDES;;J405599499;377.872,00
;COMUNA ZAMORA VIVE EN TIERRAS;;J404449167;79.938,00
;CONSEJO COMUNAL EL GUASIMO;;J299315001;357.965,00
;CONSEJO COMUNAL EL JEBITO;;J299506567;117.564,00
;CONSEJO COMUNAL LA BATEA;;J299625264;601.389,00
;LUIS ALBERTO HERNANDEZ;;12:00:00 AM;23.752,00
